Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0058038,-0.11499,-0.018823,0,0,0,0.98158,0.0019367,-2.0105E-05,8.1983E-05,0.0031244,-2.7076E-05,0.0048287,0,0,0,0,0,0,package://Two axis URDF/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Two axis URDF/meshes/base_link.STL,,Base-1,Main coordinate system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Middle_link,0.040508,0.00060933,0.043297,0,0,0,0.072016,5.9313E-05,-6.18E-07,-3.6125E-05,0.00010104,-5.5296E-07,6.1442E-05,0,0,0,0,0,0,package://Two axis URDF/meshes/Middle_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Two axis URDF/meshes/Middle_link.STL,,Middle link-1,Main coordinate system,Axis1,Joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,0.147,87,-1.57,1.57,,,,,,,,
Last_link,0.031721,-0.031629,0.085647,0,0,0,0.10335,5.8739E-05,-1.5962E-05,-2.4139E-07,8.1004E-05,4.185E-08,7.8529E-05,0,0,0,0,0,0,package://Two axis URDF/meshes/Last_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Two axis URDF/meshes/Last_link.STL,,Last link-1,Main coordinate system,Axis2,Joint_2,revolute,0,0,0,0,0,0,Middle_link,-0.99989,-0.015041,0,0.147,87,-1.57,1.57,,,,,,,,
